,Food ,Beer ,Smoke,Games,Books,Hshld,Clths,Hlth ,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal ,Oil  ,Util ,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin  ,Other,RF
195001,1.76,3.75,-0.76,-0.56,2.67,2.64,0.17,1.15,1.02,3.31,-0.07,3.78,1.74,5.52,1.75,5.21,4.28,3.64,-0.63,3.82,1.95,2.59,3.33,3.61,4.77,0.99,0.48,1.73,1.81,4.2,0.09
195002,1.77,-0.98,1.52,-7.08,-1.86,4.23,-4.94,2.01,1.07,-4.46,1.78,3.47,0.47,4.45,3.82,5.9,-0.42,-2.94,-0.4,2.48,0.75,-1.06,2.07,-0.16,1.77,1.71,2.49,2.15,3.53,5.12,0.09
195003,0.27,-0.19,-0.56,-1.54,-3.05,-0.24,-0.34,-2.8,3.68,-4.66,1,-1.41,-1,4.17,1.69,-3.14,-2.14,1.13,5.01,0.65,4.67,3.05,0.01,2.19,-0.71,-0.4,-0.06,-1.78,0.08,1.12,0.1
195004,-0.26,2.81,-2.74,3.52,2.21,8.13,1.6,5.61,9.51,7.59,4.48,7.67,2.84,6.8,10.49,10.74,4.22,-3.2,3.43,1.04,2.46,-0.07,1.71,7.74,1.18,-0.32,-0.25,6.48,-0.41,0.59,0.09
195005,2.45,-0.09,0.59,-4.15,0.45,5.33,6.59,4.06,7.55,3.37,4.41,6.24,4.22,0.45,6.96,-0.98,2.78,8.06,8.91,1.93,2.07,10.78,0.13,7.21,0.39,5.37,3.12,-0.09,4.84,4.17,0.1
195006,-6.54,-2.07,-4.38,-6.05,-6.22,-8.36,-5.18,-4.09,-6.59,-4.79,-8.54,-4.04,-5.71,-7.65,-3.83,-4.93,-6.11,-7.52,-4.37,-7.53,-4.18,-9.18,-8.2,-10.46,-6.24,-7.24,-4.17,-4.35,-7.52,-8.37,0.1
195007,-2.32,6.06,-1.79,4.9,-4.14,-2.05,6.01,-6.84,-3.71,16.95,-7.01,12.25,5.05,-1.5,-1,17.5,3.44,20.58,8.72,-5.13,-1.23,-0.9,-5.03,0.61,16.26,3.92,-1.1,-0.29,-5.92,-7.41,0.1
195008,5.43,3.32,0.45,2.98,8.67,10.89,3.64,3.78,7.88,2.88,6.8,4.84,4.7,4.01,9.02,-2.04,8.44,5.04,4.41,3.48,2.66,6.35,7.71,10.68,0.17,11.91,4.07,5.22,4.46,5.2,0.1
195009,3.92,10.23,4.87,11.03,14.29,3.53,6.05,6.25,4.3,4.62,8.67,3.32,7.16,4.77,8.48,-0.35,9.48,3.33,3.64,4.59,-0.36,5.72,5.7,6.65,4.36,5.34,8.82,6.61,8.66,7.03,0.1
195010,-0.31,-1.04,0.27,-5.77,-0.51,-0.71,-0.13,-1.64,-0.73,-0.35,-1.56,4.12,-0.64,-1.27,0.53,2.38,-1.84,-2.54,0.46,-0.61,0.33,-1.04,-1.52,0.14,-0.61,-3.49,1.24,-1.64,-0.97,0.3,0.12
195011,-0.47,3.32,-1.62,-1.21,-1.9,1.2,3.44,4.79,7.78,2.37,4.59,5.36,3.25,0.63,-1.73,6.35,7.58,5.01,5.39,-1.06,-0.13,-2.12,6.28,7.12,4.28,3.71,1.12,1.67,2.86,1.45,0.11
195012,1.57,6.51,-1.27,1.14,2.4,1.71,6.46,6.17,6.29,12.56,3.15,7.74,10.05,5.16,2.41,11.57,8.64,13.95,8.7,3.7,2,1.31,2.18,6.23,15.99,4.3,2.8,3.91,4.59,3.05,0.11
195101,4.67,8.82,3.85,4.94,7.09,7.78,2.35,3.23,4.45,3.86,8.24,8.61,6.52,10.57,9.14,3.21,6.26,4.14,6.47,5.15,2.01,5.15,3.53,5.48,8.38,5.35,3.61,7.69,2.31,9.96,0.13
195102,1.91,-3.3,-0.67,4.68,0.21,1.61,2.56,1.56,2.75,2.74,3.33,-2.21,1.81,1.42,3.06,1.84,0.29,0.36,1.07,3.21,4.21,0.51,0.35,1.93,-2.18,-1.43,3.52,2.81,2.31,1.68,0.1
195103,-1.14,-4.63,-1.47,-5.48,-4.22,-3.08,-4.81,1.81,-1.65,-9.17,0.7,-5.03,-4.4,-0.2,1.03,-7.79,-4.06,-5.86,-2.2,-1.3,-0.99,0.83,-1.83,-1.85,-3.52,0.62,-2.13,-3.67,0.66,-0.3,0.11
195104,0.56,5.13,-0.46,1.62,2.89,1.5,1.24,10.54,8.43,2.38,3.95,6.7,4.82,3.03,4.45,5.62,6.27,-2.38,11.16,0.34,0.98,-1.26,3.77,8.89,3.73,0.26,0.54,-1.44,4.02,3.54,0.13
195105,-1.02,-0.02,-1.97,-4.28,-5.07,-1.96,-2.13,1.69,-0.2,-0.48,-4.1,-3.62,-2.46,-3.26,-4.89,-2.6,-2.97,-0.56,-2.92,0.07,-0.29,-0.33,-1.58,-2.69,-3.81,7.67,-1.65,-5.26,-1.45,-0.82,0.12
195106,-3.31,-2.43,-3.56,0.06,-3.45,-8.31,-2.46,0.95,-0.57,-5.17,-2.1,-8.07,-4.78,-1.53,-6.54,-8.62,-4.57,-0.04,1.23,-0.27,-0.06,-1.49,-1.4,-1.64,-7.74,-7.16,-2.3,-4.92,-0.02,-1.54,0.12
195107,3.28,5.4,3.2,7.34,2.05,7.48,1.2,14.55,8.29,2.48,7.49,9.84,6.75,5.15,4.48,10.02,6.92,5.37,11.59,5.44,2.93,1.53,7.52,6.64,8.6,11.49,2.58,3.9,6.03,5.03,0.13
195108,3.65,2.98,3.58,6.28,4.09,2.67,3.21,-1.25,2.46,4.35,5,9.94,4.86,7.4,7.28,4.05,9.89,8.13,5.84,2.26,2.77,1.13,4.17,3.85,1.59,3.53,2.78,5.37,4.27,2.82,0.13
195109,-0.72,4.19,0.38,9.79,-0.6,0.49,-2.25,-1.72,-1.14,-2.13,1.28,1.42,2,3.68,2.64,3.96,6.11,5.29,-0.72,1.44,0.08,0.44,3.39,-0.78,3.73,17.02,2.53,-0.21,1.33,0.26,0.12
195110,-3.36,-3.34,-2.2,-3.42,-0.03,-2.61,-0.54,-5.78,-7.41,-3.16,-1.77,-1.33,-2.22,-6.25,-1.87,-1.41,-4.96,-1.39,1.37,0.87,-0.92,0.78,-4.66,-3.27,-3.93,-9.22,-2.52,0.68,-1.84,-6.73,0.16
195111,0.04,-1.56,0.45,-0.08,2.16,-0.5,-0.66,-0.39,0.22,1.2,-0.4,1.32,1.8,2.01,1.63,-1.73,2.17,4.22,-0.75,1.76,0.6,0.78,2.55,1.76,2.3,1.09,1.6,1.86,3.3,2.78,0.11
195112,2.46,2.84,0.94,-1.97,-2.31,2.53,1.37,5.23,8.46,1.49,3.34,0.58,3.89,4.91,3.65,1.46,-1.62,-0.67,4.92,3.38,0.99,1.58,5.52,3.5,1.79,-0.53,-0.1,0.72,6.35,3.41,0.12
195201,0.93,-3.89,5.36,-0.04,-1.64,0.64,1.47,0.88,-3.18,-4.96,0.3,3.18,0.85,-0.94,-1.17,3.5,4.93,5.11,6.77,3.23,0.32,6.36,-2.8,0.67,3.87,0.62,-0.49,3.68,2.88,1.9,0.15
195202,-1.13,-3.23,-2.48,0.19,-2.01,-0.21,-3.61,-4.1,-3.28,-3.52,-1.82,-6.02,-2.4,-3.74,-0.12,-3.54,-4.92,1.4,-3.34,0.82,-0.51,-1.69,-2.69,-2.24,-1.57,-3.15,-3.58,0.19,-0.08,-5.36,0.12
195203,1.6,-0.11,1.97,0.95,3.66,2.32,3.07,0.48,3.42,4.09,3.5,1.97,3.22,7.85,8.96,1.5,2.11,0.52,8.95,2.34,1.37,1.55,1.15,2.54,8.44,-0.85,2.86,5.13,4.01,3.54,0.11
195204,-1.89,-9.21,-3.71,-5.77,-2.66,-5.27,-3.12,-5.34,-7.15,-4.96,-3.8,-7.71,-4.36,-3.65,-3.74,-4.09,-5.67,-7.9,-7.53,-1.68,-0.62,-1.79,-2.84,-5.7,-3.26,-5.75,-1.4,-1.42,-1.45,-3.67,0.12
195205,2.58,1.9,-0.32,-7.72,2.39,-0.35,1.95,2.66,6.78,5.15,3.87,2.68,3.05,3.21,4.29,5.44,2.56,4.99,3.63,3.12,1.16,0.54,2.91,2.86,4.53,3.77,2.74,1.45,2.8,0.84,0.13
195206,2.42,2.79,3.87,1.17,0.77,2.46,2.83,-0.82,4.13,5.83,2.1,5.89,1.98,6.79,6.35,5.73,4.39,2.26,5.65,1.24,2.21,0.99,4.36,4.62,5.22,2.66,3.16,1.27,2.8,-0.69,0.15
195207,0.61,5.8,-0.49,-1.07,1.9,2.22,3.24,-4.24,1.43,-1.73,1.35,3.45,4.05,1.59,2.56,0.86,1.7,0.67,-0.89,2.32,0.39,-0.74,2.09,3.9,0.85,-0.59,2.33,-0.39,2.66,4.37,0.15
195208,1.54,0.25,1.78,5.45,-1.35,0.23,-1.49,-0.4,-1.45,-0.06,-0.83,-2.2,-1.9,0.08,1.7,0.39,0.45,-0.76,-2.53,2.05,1.03,1.22,-0.55,-1.1,-0.19,-1.71,-0.1,3.96,-1.03,1.74,0.15
195209,-1.58,-12.43,0.25,-1.28,-0.16,-0.74,-0.87,-3.94,-1.54,-5.42,-1.57,-3.69,-1.52,2.42,-0.78,-1.45,-2.32,0.69,-4.2,0.51,-0.18,-2.47,-1.02,-0.53,-1.73,-3.95,-0.41,1.37,0.42,-0.34,0.16
195210,-1.57,-2.19,6.75,-5.91,0.31,1.13,-3.03,-1.33,-1.94,-7.02,-1.91,-1.42,-1.84,-0.45,1.46,0.8,-4.84,-1.99,0.55,0.63,1.06,1.87,-1.8,-1.52,0.68,1.43,-1.12,-0.44,-3.16,-4.76,0.14
195211,4.85,9.75,8.13,8.79,3.59,5.36,7.41,7.35,10.21,5.89,7.31,7.91,7.38,10.63,7.61,5.8,6.23,9.78,2.07,5.29,4.17,-0.62,6.29,8.44,7.54,4.37,4.72,0.21,7.89,8.17,0.1
195212,1.72,-0.3,0.6,6.68,2.67,1.32,0.71,-1.8,1.83,4.4,2.89,4.38,2.53,2.69,7.22,2.47,2.28,-1.66,4.8,1.95,1.04,-0.53,3.38,3.13,3.92,2.2,1.4,5.27,4.26,0.24,0.16
195301,2.77,0.47,4.49,0.61,3.5,0.8,0.64,-4.96,0.36,-2.6,1.13,1.58,0,-3.2,-0.28,6.63,-0.1,2.21,-2.9,1.1,1.18,2.73,0.08,-1.17,1.89,0.06,1.03,3.54,0.18,2.42,0.16
195302,0.66,0.34,5.78,4.14,4.48,-0.53,3.92,2.23,-2.49,1.77,0.18,-0.25,-0.54,0.48,-1.03,1.75,3.43,-0.45,0.48,0.55,-0.29,0.2,0.86,1.37,-1.02,-1.37,0.05,3.09,-0.09,-1.43,0.14
195303,-0.23,-1.39,-4.27,5.09,-0.13,-0.39,-1.94,0.02,0.25,-4.74,-0.11,-4.54,-0.52,-1.45,-4.37,-4.06,-3.77,-6.4,-0.3,0.32,-0.25,4.07,0.68,-0.96,-2.19,-1.42,-0.29,1.48,0.95,1.98,0.18
195304,-0.48,-3.55,5.03,-2.38,-1.52,-3.14,-1.1,-5.19,-3.18,-2.62,-1.93,-1.88,-1.6,0.97,-1.9,-3.93,-1.85,-6.64,-5,-3.04,-0.88,-0.83,-3.29,-1.99,-2.75,-3,-0.5,-0.73,-4.4,-1.21,0.16
195305,0.5,0.97,-0.17,0.15,0.66,0.25,0.73,0.14,0.19,-0.22,0.27,0.21,-0.21,1.16,-0.07,3.25,-1.69,-0.16,2.04,0.2,0.53,6.98,1.32,1.55,2.94,0.39,1.74,0.05,0.78,2.33,0.17
195306,-1.28,-0.75,1.92,-1.72,-3.52,-4.54,-1.35,-3.11,-1.08,-0.19,-4.29,-2.62,-3.97,-1.71,-2.81,-3.17,-3.81,-3.27,0.15,-2.88,0.68,1.71,-2.16,-0.63,-1.07,-6.04,-1.77,-3.22,-2.78,-1.13,0.18
195307,2.59,3.81,4.62,3.31,-0.35,5.74,0.31,3.81,2.9,1.51,2.54,3.49,0.77,2.57,0.75,0.22,1.31,0.57,4.12,3.52,1.09,-0.21,1.97,3.57,1.61,0.32,2.24,1.47,1.48,0.86,0.15
195308,-2.48,-2.3,-5.34,-6.18,-4.52,-3.56,-1,0.22,-2.6,-5.03,-4.11,-7.85,-6.25,-5.86,-6.37,-3.2,-6.57,-6.95,-6.19,-0.2,-0.67,-2.42,-1.82,-4.99,-8.51,0.47,-2.24,-8.4,-2.82,-0.88,0.17
195309,0.16,-2.54,3.7,-2.52,1.74,-1.41,-1.61,0.59,1.96,-2.14,1.01,-0.3,0.58,5.17,-0.22,0.98,-0.56,-3.32,-1.75,1.77,1.94,0.31,0.14,3.97,-1.54,-2.01,0.4,-0.39,0.74,-0.88,0.16
195310,1.21,3.22,-1.99,2.82,5.26,6.66,2.05,2.79,4.64,0.49,6.13,8.4,4.46,8.73,8.19,5.9,3.49,1.68,5.82,4.62,1.51,5.74,4.82,7.25,3.76,1.42,0.97,0.35,4.64,4.1,0.13
195311,2.94,4.67,-7.73,10.33,2.16,4.49,0.71,8.06,4.81,-0.73,4.44,2.12,3.16,6.9,0.93,5.06,-0.49,3.3,2.06,3.08,2.34,2.26,1.36,7.02,2.05,1.68,3.61,2.27,4.23,4.17,0.08
195312,1.36,-1.31,-4.2,2.38,2.71,-0.06,-1.08,-1.21,0.95,-3.06,1.54,-0.71,-0.07,-0.56,-0.62,1.79,-3.4,-4.51,0.63,0.72,0.67,3.02,2.83,1.32,-3.59,-0.39,1.47,-0.76,0.37,4.9,0.13
195401,4.21,6.63,1.91,3.38,4.2,4.26,2.9,5.76,1.15,7.83,6.51,7.67,8.2,7.27,5.76,8.05,8.3,9.6,8.74,3.39,2,1.53,6.55,4.88,8.03,7.68,3.2,6.21,4.3,5.07,0.11
195402,0.1,-0.18,-3.24,2.45,3.98,-0.33,2.01,-0.11,0.16,1.82,2.3,0.38,2.57,5.58,1.59,5.77,4.37,-6.73,2.97,1.64,2.64,1.53,5.1,1.56,1.03,3.06,0.36,1.38,1.64,2.67,0.07
195403,2.92,-3.43,0.5,4.74,2.47,5.22,1.85,0.36,4.62,-2.67,1.8,6.15,1.82,7.18,3.82,11.9,3.5,0.87,4.39,3.06,1.8,2.96,11.36,6.38,-0.18,-0.66,0.55,-2.13,4.98,1.67,0.08
195404,1.21,-0.36,3.93,1.07,5.22,3.95,-0.36,1.29,6.77,-5.21,3.8,6.68,5.46,12.54,3.66,0.51,3.17,-1.89,6.31,1.32,2.07,2.06,2.8,8.18,1.84,1.52,1.69,2.08,5.47,4.19,0.09
195405,1.35,5.83,-0.13,3.53,1.83,6.23,4.06,1.66,3.63,12.98,3.19,6.98,4.71,-3.41,4.35,7.29,7.62,8.27,2.98,2.74,1.29,3.86,5.85,2.37,5.42,0.99,3,7.27,1.51,0.52,0.05
195406,3.26,-2.17,-9.17,1.17,2.73,5.37,2.29,-2.37,3.84,2.67,5.68,1.47,2.25,13.13,1.69,3.67,-0.72,3.55,-5.89,1.4,0.6,4.31,2.8,5.75,1.25,5.14,2.45,8.92,2.71,0.1,0.06
195407,5.34,9.1,8.22,7.7,4.47,2,6.93,8.26,2.33,8.52,5.64,8.01,5.09,-1.3,10.25,13.08,5.48,1,4.31,5.48,4.41,5.21,2.84,5.86,6.67,5.93,4.16,9.79,7.57,3.05,0.05
195408,-2.97,0.25,-1.25,5.93,-0.1,2.4,-3.92,-2.52,-3.33,-4.17,-3.41,-6.25,-2.9,-5.18,-3.65,1.35,-4.22,3.72,0.54,-1.68,-1.38,0.2,-2.53,-4.39,-4.05,-1.36,-0.13,11.9,-0.31,-0.05,0.05
195409,3.64,2.37,5.65,5.85,2.8,5.59,2.72,2.91,7.35,5.15,6.17,7.76,5.81,7.45,13.91,3.03,8.81,7.71,10.12,2.1,2.58,4.69,7.28,5.63,3.84,1.87,5.06,9.32,3.32,5.55,0.09
195410,-2.3,-1.15,-2.88,-5.79,-2.81,-1.1,-0.16,-1.55,-4.32,-1.67,2.68,0.33,1.76,-2.71,-0.34,0.33,-1.07,-5.21,-1.88,-3.74,-0.78,1.88,0.05,-0.21,2.75,-2.9,-2.45,-1.24,-1.37,1.52,0.07
195411,6.45,6.92,3.59,8.5,5.14,7.65,4.02,12.61,14.81,10.32,14.95,15.46,9.86,9.9,5.78,9.8,11.43,20.41,8,5.75,3.49,5.58,19.79,12.02,11.7,8.26,8.5,4.33,10.72,6.3,0.06
195412,2.6,8.37,7.89,10.23,5,3.04,4.96,6.21,3.81,7.47,2.5,12.34,6.25,4.29,7.75,14.78,3.83,10.28,6.52,3.66,1.66,7.92,0.91,5.53,12.17,5.36,2.07,14.22,6.2,3.5,0.08
195501,0.28,-3.91,1.33,-1.29,0.32,-1.05,1.75,-2.8,-2.68,1.81,0.21,3.48,0.09,4.48,0.85,8.83,3.37,-3.37,0.52,1.53,0.88,0.73,3.79,-3.76,0.92,-1.33,1.93,3.95,0.22,-0.45,0.08
195502,1.9,1.72,-0.81,2.29,4.72,4.61,2.92,2.94,4.6,1.27,3.23,4.5,4.34,4.6,-0.88,3.84,0.05,7.5,2.47,3.74,4.08,7.78,6.06,4.84,5.83,0.74,1.39,1.99,2.08,6.66,0.09
195503,-0.15,-2.04,-0.02,-2.98,-3.21,-1.89,1.21,6.2,-1,-5.15,0.74,3.06,0.61,-3.11,0.21,-2.27,8.82,0.34,-0.14,-0.62,-0.09,-4.25,1.29,1.12,0.08,-2.28,-1.26,-0.7,1.24,-2.04,0.1
195504,4.3,-1.3,8.84,5.99,0.6,2.3,0.13,0.11,8.16,2.74,5.04,2.77,1.76,4.35,5.48,-7.39,0.01,-2.04,0.7,2.65,2.07,-2.53,7.25,4.8,6.3,2.37,1.9,8.28,-1.35,7.2,0.1
195505,0,3.11,-1.96,0.79,-0.36,0.14,0.85,3.28,5.49,0.33,2.42,2.22,-0.84,-0.24,-0.51,-0.51,6.11,8.76,-0.57,0.01,1.43,-2.68,1.36,3.86,0.73,0.46,3.38,0.57,2.51,-3.1,0.14
195506,2.82,3.48,-0.9,3.72,5.22,2.48,3.34,0.27,12.37,5.92,4.03,12.55,4.9,3.31,9.57,-0.17,0.66,9.71,11.31,1.77,0.79,0.21,6.37,11.77,1.85,0.64,4.8,0.44,3.98,-0.79,0.1
195507,0.95,0.62,7.34,0.03,1.33,2,3.39,0.24,-1.96,2.99,0.18,-0.22,-0.29,-3.1,15.5,-1.86,-5.41,-2.57,2.92,3.79,2.71,2.6,-2.76,-3.52,-1.36,3.05,2.07,5.24,-0.7,-0.55,0.1
195508,-1.01,-0.1,2.04,-0.91,-2.56,1.56,-0.45,0.31,2.6,-1.3,1.34,6.3,0.42,2.26,-2.6,6.88,3.63,6.03,-1.01,0.24,-2.28,1.77,-2.4,-0.62,-0.4,-1.45,2.02,-1.7,0.97,5.06,0.16
195509,-2.78,-0.62,3.28,-5.06,0.39,-3.04,0.37,-3.04,-2.48,-1.21,0.69,1.05,0.02,-5.65,8.65,-2.44,-1.96,-3.82,-0.19,-2.47,1.22,1.4,-1.77,-0.04,-1.61,-4.25,4.02,-3.51,-3.78,-0.67,0.16
195510,0.03,-5.85,-0.09,-3.1,0.02,-2.38,-1.13,0.99,-2.23,-1.19,-2.6,-5.53,-1.75,-5.98,-4.54,2.91,-5.34,1.01,-0.83,-0.84,-0.97,3.44,-4.35,-2.48,-2.78,1.94,-2.53,-3.94,-0.93,-0.83,0.18
195511,3.79,3.4,4.72,2.81,7.16,3.76,0.53,6.43,7.73,3.42,5.79,9.06,9.27,12.41,9.44,11.63,8.37,11.17,8.73,3.56,1.8,-1.48,9.29,7.88,10.98,1.63,6.47,1.42,3.94,2.55,0.17
195512,1.13,2.28,1.92,-1.35,1.69,0.09,1.52,6.4,2.5,0.79,2.78,2.79,4.21,6.54,-2.11,7.76,-2.04,8.13,3.84,0.06,1.04,1.79,3.43,3.83,-1.62,2.81,-0.79,4.69,2.33,2.34,0.18
195601,-1.96,0.6,0.07,-5.17,-1.22,-3.31,-1.53,-6.28,-4.4,-1.12,-4.22,-4.01,-3.93,-5.49,-6.66,-6.22,-2.45,6.08,0.71,-0.11,2.08,2.54,-4.6,-4.23,-2.06,-0.28,-4.47,-3.63,-3.35,-2.27,0.22
195602,2.54,0.26,-3.02,8.24,3.95,6.96,1.49,8.44,4.21,0.53,5.31,4.98,5.79,6.3,5.67,3.94,4.56,12.29,4.38,2.11,0.35,6.73,6.16,7.74,2.55,6.05,2.84,-0.08,3.77,3.91,0.19
195603,1.9,4.86,1.68,0.46,3.17,4.42,0.42,7.39,5.81,-0.34,11.96,10.69,4.53,8.8,5.46,0.7,2.89,9.49,11.62,3.93,1.58,6.84,12.94,11.05,7.14,2.54,0.43,2.92,5.81,8.83,0.15
195604,-0.11,2.37,7.86,3.06,2.76,-0.51,-1.38,2.93,-0.6,-3.2,0.15,4.69,3.07,-2.37,-4.67,2.41,-3.24,-6.06,3.92,-1.99,-0.69,-4.77,2.42,2.08,1.85,0.58,-1.75,-0.52,0.18,-3.73,0.19
195605,-2.48,-3.62,-3.86,-3.36,1.82,-5.77,-3.75,-1.01,-5.67,-5.54,-3.33,-9.24,-2.54,-7.33,-4.73,-4.77,-6.84,-2.95,-6.18,-0.51,-0.83,-4.47,-2.33,-3.93,-5.34,-2.52,-4.47,2.92,-5.12,-2.28,0.23
195606,0.67,2.07,0.89,1.33,3.93,1.04,1.64,3.78,4.33,-0.37,4.74,5.94,6.52,5.37,7.25,4.04,0.75,10.55,2.86,2.54,1.48,3.57,8.58,4.36,1.78,0.77,2.5,2.12,1.73,4.02,0.2
195607,2.68,0.66,2.04,1.35,4.69,3.34,0.56,3.32,2.97,0.75,7.52,11.08,8.96,5.55,4.98,5.83,1.19,2.47,6.27,5.46,2.91,-0.75,5.43,5.15,2.39,3.77,5.16,4.81,2.74,-0.75,0.22
195608,-1.52,2.05,-1.94,1.57,4.17,2.17,-0.97,-2.9,-3.5,-2.42,-5.06,-1.71,-3.4,-2.87,0.5,5.37,3.86,-5.7,-5.09,-2.31,-1.19,6.93,-4.16,-7.28,-5.09,-0.24,-2.73,-2.53,-2.59,-3.42,0.17
195609,-3.12,-1.52,-3.98,-2.52,-6.11,-4.05,-3.23,-3.51,-6.56,-1.77,-6.83,-4.46,-2.95,-6.66,-1.79,-4.57,-4.66,-1.91,-5.68,-3.69,-2.69,-5.05,-6.68,-9.22,-3.88,-1.48,-4.57,-4.32,-4.43,3.27,0.18
195610,-0.08,-1.75,2.97,1.3,2.37,-1.82,0.39,0.83,1.08,1.89,-1.37,0.93,3.67,3.58,-0.3,4.11,-0.61,8.28,0.68,1.39,-1.14,1.77,3.39,1.38,2.26,2.56,1.69,1.79,0.78,-2.82,0.25
195611,0.05,-1.44,-0.84,0.45,-0.07,-1.39,-0.78,-1.11,-3.12,-1.36,-3.88,2.6,2.12,-1.17,-3.26,4.52,1.33,5.48,5.51,0.62,1.72,0.17,4.09,-2.56,-0.27,3.04,-2.29,0.79,1.82,-1.73,0.2
195612,1.17,5.91,2.65,3.52,-2.64,5.77,1.5,6.29,5.51,-0.72,5.3,4.27,6.87,4.06,2.22,4.33,2.61,-0.74,4.46,2.06,2.79,3.26,5.54,2.13,2.24,3.81,-0.63,0.32,1.65,5.84,0.24
195701,1.61,0.14,4.86,1.83,2.04,-3.77,1.62,-1.99,-5.37,2.6,-3.25,-9.29,-1.73,-7.5,-4.95,-1.4,1.03,-4.67,-3.84,2.91,3.17,6.63,-2.27,-2.66,-1.93,5.07,-1.46,1.11,1.76,-4.38,0.27
195702,-1.05,1.59,-0.9,-2.06,0.54,-2.2,0.73,-0.11,-1.66,-7.05,-1.94,-3.9,-1.92,0.74,-1.63,-6.05,1.42,-6.68,-1.96,-0.05,0.56,-0.05,-2,-0.89,-4.01,1.24,-0.8,-4.83,-0.26,0.35,0.24
195703,1.77,2.05,1.33,2.93,1.51,5.37,1.98,8.44,2.77,2.43,1.81,2.44,2.11,5.59,0.78,0.04,5.27,1.56,3.42,1.92,1.75,3.86,4.18,1.12,1.22,0.8,2.43,2.8,3.85,4.91,0.23
195704,1.95,1.95,0.74,2.9,7.94,-0.24,-1.5,5.68,5.73,0.27,1.14,4.66,3.18,8.09,7.69,2.28,-0.45,-1.52,7.31,3.44,0.7,0.32,9.42,0.98,2.78,1.05,0.41,3.55,5.74,-0.22,0.25
195705,1.2,4.49,-0.62,4.51,6.15,-0.62,1.04,5.04,3.79,5.06,8.15,2.44,2.78,4.72,1.52,0.06,-0.36,5.7,7.9,2.51,1.29,-2,7.95,5.29,0.97,3.77,2.93,1.01,3.08,-0.58,0.26
195706,-0.33,1.12,-1.32,0.77,2.68,0.29,-1.39,6.69,0.13,-1.61,-0.31,1.61,-2.15,3.07,0.22,-5.32,0.28,-2.23,-1.49,-4.87,-1.85,1.02,8.76,4.54,0.64,0.18,-2.04,-0.56,-4.02,0.75,0.24
195707,2.14,-1.36,-0.18,2.04,0.31,5.17,-0.88,3.28,1.92,-0.29,2.55,-0.01,-1.58,1.43,3.7,-3.04,1.2,-0.79,1.32,0.32,0.06,2.38,1.27,-0.28,2.49,0.37,3.43,1.47,-0.29,-0.29,0.3
195708,-1.72,-3.76,3.14,-4.76,-3.75,-1.79,-2.92,-2.01,-6.42,-6.74,-7.35,-6.72,-5.31,-6.27,-2.82,-1.23,-5.7,-6.73,-5.47,-2.33,0.13,1.31,-7.53,-5.74,-6.49,-8.75,-2.02,-3.4,-2.86,-4.14,0.25
195709,-1.41,-4.95,5.62,-5.23,0.12,-1.48,-2.02,-3.45,-6.25,-5.14,-5.06,-8.51,-7.08,-6.4,-7.15,-9.37,-9.76,-9.11,-7.69,-1.46,-1.96,2.61,-5.75,-3.88,-7.52,-3.76,1,-2.28,-3.66,-3.07,0.26
195710,-1.64,-1.8,1.28,-9.34,-7.23,-2.57,-3.37,-0.16,-3.2,-7.44,-3.39,-7.3,-6.19,-1.99,-3.52,-3.58,-6.42,-4.44,-5.52,-0.4,-1.81,-1.95,-0.85,-3.56,-7,-8.13,-3.33,-8.01,-5.23,-3.81,0.29
195711,3.74,5.53,4.11,4.46,1.65,4.1,-1.37,8.05,5.18,2.86,4.85,-0.71,-1.31,8.45,-4.18,12.2,-3.62,-1.18,2.76,4.66,1.77,3.2,4.6,6.94,-1.63,2.42,1.99,-2.5,4.73,-0.79,0.28
195712,1.54,-2.72,3.42,-4.06,0.18,3.24,-2.31,-0.14,-3.02,-7.16,-2.62,-8.62,-7.15,-4.5,-6.75,-5.47,-7.25,-7.55,-6.75,2.8,1.5,-1.51,-1.11,-2.82,-6.29,-3.26,-1.38,-1.5,-0.39,-0.37,0.24
195801,7.16,7.59,6.26,10.25,5.97,2.59,8.85,0.23,3.67,16.47,7.43,8.84,11.07,3.79,4.53,5.66,9.01,9.34,1.76,6.52,4.54,4.55,4.95,5.06,13.2,4.92,7.95,12.09,8.93,5.51,0.28
195802,3.3,3.01,0.47,-0.47,-3.88,2.52,1.91,5.04,-3.64,-1.51,-0.51,0.6,-3.14,-3.6,-1.97,-1.86,-3.19,-2.58,-4.49,1.4,0.78,4.17,1.03,-1.8,-3.45,0.62,1.58,0.07,1.43,2.97,0.12
195803,3.97,3.11,6.42,2.21,3.38,4.39,3.47,7.62,-0.22,2.46,3.11,2.11,3.73,1.01,2.39,0.44,8.67,1.17,8.1,2.06,1.26,4.97,4.69,3.43,0.53,4.05,4.17,7.7,3.39,8.53,0.09
195804,3.3,3.76,4.62,2.04,5.03,2.21,3.39,7.6,0.93,5.18,1.17,1.45,2.9,-1.43,3.9,3.69,1.05,4.84,5.23,5.17,2.78,-0.18,1.55,1.79,7.35,0.92,3.23,1.8,2.17,-1.33,0.08
